43,62,13,Citizen630,-10.0,love, sadness, fear
43,62,13,Citizen760,-10.0,conflict, love, anger
43,62,13,Citizen777,-30.0,fear, stress, shame
43,62,13,Citizen858,-10.0,anger, peace, disgust
43,62,13,Citizen865,10.0,contentment, anger, gratitude
43,62,13,Citizen723,-10.0,serenity, stress, fear
43,62,13,Citizen325,10.0,gratitude, peace, anger
430,75,78,Citizen822,30.0,disgust, conflict, hope
430,75,78,Citizen584,10.0,disgust, conflict, hope
430,75,78,Citizen452,-30.0,disgust, conflict, hope
430,75,78,Citizen142,10.0,disgust, conflict, hope
430,75,78,Citizen826,-10.0,disgust, conflict, hope
430,75,78,Citizen309,10.0,disgust, conflict, hope
430,75,78,Citizen949,10.0,disgust, conflict, hope
430,75,78,Citizen786,10.0,disgust, conflict, hope
430,75,78,Citizen651,10.0,disgust, conflict, hope
430,75,78,Citizen244,-10.0,disgust, conflict, hope
430,75,78,Citizen215,-30.0,disgust, conflict, hope
36,75,54,Citizen453,10.0,happiness, shame, joy
36,75,54,Citizen835,-10.0,anger, shame, contentment
36,75,54,Citizen681,10.0,hope, shame, gratitude
36,75,54,Citizen644,10.0,hope, conflict, contentment
36,75,54,Citizen601,10.0,guilt, gratitude, gratitude
36,75,54,Citizen485,-10.0,gratitude, stress, envy
36,75,54,Citizen609,-10.0,guilt, love, conflict
36,75,54,Citizen707,-10.0,peace, guilt, envy
36,75,54,Citizen445,10.0,love, kindness, shame
36,75,54,Citizen578,10.0,sadness, love, happiness
36,75,54,Citizen835,10.0,contentment, sadness, harmony
36,75,54,Citizen71,-10.0,fear, happiness, sadness
36,75,54,Citizen681,-30.0,disgust, shame, disgust
976,24,26,Citizen403,-10.0,shame, harmony, fear
976,24,26,Citizen492,10.0,guilt, happiness, love
976,24,26,Citizen804,30.0,joy, joy, joy
976,24,26,Citizen973,30.0,love, harmony, gratitude
976,24,26,Citizen557,-10.0,joy, disgust, fear
976,24,26,Citizen694,10.0,love, fear, gratitude
976,24,26,Citizen838,-10.0,guilt, envy, love
976,24,26,Citizen224,-10.0,peace, shame, stress
976,24,26,Citizen53,-10.0,love, stress, shame
976,24,26,Citizen645,10.0,serenity, shame, peace
976,24,26,Citizen632,-10.0,guilt, anger, peace
976,24,26,Citizen510,10.0,serenity, joy, fear
976,24,26,Citizen430,-10.0,conflict, contentment, anger
36,75,59,Citizen528,10.0,harmony, fear, peace
36,75,59,Citizen78,-10.0,sadness, conflict, contentment
36,75,59,Citizen453,10.0,happiness, shame, joy
36,75,59,Citizen310,10.0,envy, hope, peace
36,75,59,Citizen837,-10.0,happiness, fear, disgust
36,75,59,Citizen681,10.0,hope, shame, gratitude
36,75,59,Citizen644,10.0,hope, conflict, contentment
36,75,59,Citizen601,10.0,guilt, gratitude, gratitude
36,75,59,Citizen485,-10.0,gratitude, stress, envy
36,75,59,Citizen445,10.0,love, kindness, shame
36,75,59,Citizen578,10.0,sadness, love, happiness
36,75,59,Citizen71,-10.0,fear, happiness, sadness
851,68,92,Citizen183,10.0,anarchy, disgust, gratitude
851,68,92,Citizen692,30.0,anarchy, disgust, gratitude
851,68,92,Citizen853,10.0,anarchy, disgust, gratitude
851,68,92,Citizen744,10.0,anarchy, disgust, gratitude
851,68,92,Citizen181,10.0,anarchy, disgust, gratitude
851,68,92,Citizen350,-10.0,anarchy, disgust, gratitude
851,68,92,Citizen232,10.0,anarchy, disgust, gratitude
851,68,92,Citizen728,10.0,anarchy, disgust, gratitude
851,68,92,Citizen717,10.0,anarchy, disgust, gratitude
851,68,92,Citizen201,30.0,anarchy, disgust, gratitude
851,68,92,Citizen643,10.0,anarchy, disgust, gratitude
264,31,21,Citizen125,10.0,hope, contentment, conflict
264,31,21,Citizen117,-10.0,hope, contentment, conflict
264,31,21,Citizen399,10.0,hope, contentment, conflict
264,31,21,Citizen917,30.0,hope, contentment, conflict
264,31,21,Citizen787,30.0,hope, contentment, conflict
264,31,21,Citizen175,10.0,hope, contentment, conflict
264,31,21,Citizen1,30.0,hope, contentment, conflict
264,31,21,Citizen692,10.0,hope, contentment, conflict
